ra,endereço,lat,lon
Gama,"VIA INTERNA - SETOR LESTE, QD 28/29, FAIXA DE PEDESTRE",-16.025671,-48.054111
Ceilândia,"VIA INTERNA - INCRA 09, QD 04, PRÓX. AO FRIGORÍFICO ZÉ DO BOI",-15.812827,-48.211026
Ceilândia,"VIA MN1 (AV. HÉLIO PRATES), AO LADO DA CNM 2 BL A, PRÓX. À FAIXA SEMAF. DA FEIRA CENT., ST TAG.",-15.816529999999998,-48.103295
São Sebastião,"AV. SÃO SEBATIÃO, LT 200, PRÓX. À PADARIA PAPIU, PONTO DE ÔNIBUS, CENTRO , SÃO SEBASTIÃO",-15.906231,-47.771786
Riacho Fundo,"AV. SUCUPIRA, QS 16, PRÓX. AO CEM 01 DO RIACHO FUNDO I",-15.888391,-48.013375
Gama,"AV. CENTRAL NORTE, QD 01, PRÓX. À PAES E CONVENIÊNCIA AURORA, FAIX. PED.",-16.011006,-48.064358
Plano Piloto,"VIA N2, PRÓX. À POLÍCIA FEDERAL",-15.788433,-47.886789
Ceilândia,"VIA MN1 (AV. HÉLIO PRATES), QNM 01, PRÓX. À POLYELLE, SENT CEILÂNDIA",-15.821187,-48.112159
Santa Maria,"TRECHO 1, PÓLO JK, PRÓX. À UNIÃO QUÍMICA, SENT. ULTRA BOX, BALÃO",-16.0492,-47.975757
Plano Piloto,"VIA S2, QD 02, PRÓX. AO BONAPARTE HOTEL, SENT. PÁTIO BRASIL",-15.795767,-47.889239999999994
Gama,"VIA INTERNA - GAMA SETOR SUL, QD 08 CONJ. I/J, PRÓX. AO LT 02",-16.029862,-48.07365
Samambaia,"AV. NOROESTE - NORTE, QS 629, CONJ. B, PRÓX. IGREJA EVANGÉLICA, RETORNO",-15.889874,-48.142949
Brazlândia,"VIA INTERNA - BRAZLÂNDIA, AV. CENTRAL, CJ A,PRÓX. AO LT 07, ASSENT. VITÓRIA, SENT BR 080",-15.612379,-48.198528
Ceilândia,"VIA N2 - NORTE, QNN 13, PRÓX. AO CED 07, CEILÂNDIA",-15.814593,-48.118385
